Company Name,Headquarters Location,Website URL
SAP,"Walldorf, Germany",https://www.sap.com
Siemens,"Munich, Germany",https://www.siemens.com
Infineon Technologies,"Neubiberg, Germany",https://www.infineon.com
Deutsche Telekom,"Bonn, Germany",https://www.telekom.com
Bosch,"Gerlingen, Germany",https://www.bosch.com
Microsoft,"Redmond, Washington, USA",https://www.microsoft.com
Apple,"Cupertino, California, USA",https://www.apple.com
Google,"Mountain View, California, USA",https://www.google.com
Amazon,"Seattle, Washington, USA",https://www.amazon.com
IBM,"Armonk, New York, USA",https://www.ibm.com
Intel,"Santa Clara, California, USA",https://www.intel.com
Oracle,"Redwood City, California, USA",https://www.oracle.com
Dell Technologies,"Round Rock, Texas, USA",https://www.dell.com
HP Inc.,"Palo Alto, California, USA",https://www.hp.com
Tencent,"Shenzhen, China",https://www.tencent.com
Huawei,"Shenzhen, China",https://www.huawei.com
Samsung Electronics,"Suwon, South Korea",https://www.samsung.com
Nokia,"Espoo, Finland",https://www.nokia.com
Sony,"Tokyo, Japan",https://www.sony.com
Cisco Systems,"San Jose, California, USA",https://www.cisco.com
Adobe Systems,"San Jose, California, USA",https://www.adobe.com
Salesforce,"San Francisco, California, USA",https://www.salesforce.com
Facebook,"Menlo Park, California, USA",https://www.facebook.com
Twitter,"San Francisco, California, USA",https://www.twitter.com
Uber,"San Francisco, California, USA",https://www.uber.com
Spotify,"Stockholm, Sweden",https://www.spotify.com
Alibaba,"Hangzhou, China",https://www.alibaba.com
ByteDance,"Beijing, China",https://www.bytedance.com
LG Electronics,"Seoul, South Korea",https://www.lg.com
ASML,"Veldhoven, Netherlands",https://www.asml.com
Ericsson,"Stockholm, Sweden",https://www.ericsson.com
Nvidia,"Santa Clara, California, USA",https://www.nvidia.com
Qualcomm,"San Diego, California, USA",https://www.qualcomm.com
Xiaomi,"Beijing, China",https://www.mi.com
Lenovo,"Beijing, China",https://www.lenovo.com
Philips,"Amsterdam, Netherlands",https://www.philips.com
SAP SE,"Walldorf, Germany",https://www.sap.com
Wirecard,"Aschheim, Germany",https://www.wirecard.com
TeamViewer,"Göppingen, Germany",https://www.teamviewer.com
Zalando,"Berlin, Germany",https://www.zalando.com
Atos,"Bezons, France",https://atos.net
Capgemini,"Paris, France",https://www.capgemini.com
T-Systems,"Frankfurt, Germany",https://www.t-systems.com
Adesso,"Dortmund, Germany",https://www.adesso.de
1&1 Ionos,"Montabaur, Germany",https://www.ionos.de
Trivago,"Düsseldorf, Germany",https://www.trivago.com
Nutanix,"San Jose, California, USA",https://www.nutanix.com
Red Hat,"Raleigh, North Carolina, USA",https://www.redhat.com
Shopify,"Ottawa, Canada",https://www.shopify.com
Square,"San Francisco, California, USA",https://www.squareup.com
VMware,"Palo Alto, California, USA",https://www.vmware.com
Zoom Video Communications,"San Jose, California, USA",https://www.zoom.us
